Rank,Title,Start Year,End Year,Genres,Rating,Vote Count
84,Reply 1988,2015,2016,"['Comedy', 'Drama', 'Family']",9.0,15951
85,Black Mirror,2011,,"['Crime', 'Drama', 'Mystery']",8.7,696472
86,Ted Lasso,2020,,"['Comedy', 'Drama', 'Sport']",8.8,402712
87,Over the Garden Wall,2014,2014,"['Animation', 'Short', 'Adventure']",8.7,80603
88,Peaky Blinders,2013,2022,"['Crime', 'Drama']",8.7,713977
89,Steins;Gate,2011,2015,"['Animation', 'Comedy', 'Drama']",8.8,83200
90,Six Feet Under,2001,2005,"['Comedy', 'Drama']",8.7,159219
91,Rome,2005,2007,"['Action', 'Drama', 'Romance']",8.7,195439
92,My Mister,2018,2018,"['Drama', 'Family']",9.0,12858
93,X-Men '97,2024,,"['Animation', 'Action', 'Adventure']",8.7,45367
94,Oz,1997,2003,"['Crime', 'Drama', 'Thriller']",8.7,112496
95,Berserk,1997,1998,"['Animation', 'Action', 'Adventure']",8.7,66518
96,Dark,2017,2020,"['Crime', 'Drama', 'Mystery']",8.7,493552
97,Fleabag,2016,2019,"['Comedy', 'Drama']",8.7,227964
98,Severance,2022,,"['Drama', 'Mystery', 'Sci-Fi']",8.7,320834
99,The Shield,2002,2008,"['Crime', 'Drama', 'Thriller']",8.7,93251
100,Downton Abbey,2010,2015,"['Drama', 'Romance']",8.7,235143
101,The Grand Tour,2016,2024,"['Comedy', 'Sport', 'Talk-Show']",8.7,91000
102,Battlestar Galactica,2004,2009,"['Action', 'Adventure', 'Drama']",8.7,182465
103,Mad Men,2007,2015,['Drama'],8.7,275800
104,Peep Show,2003,2015,['Comedy'],8.7,70731
105,Blue Eye Samurai,2023,,"['Animation', 'Action', 'Adventure']",8.7,91846
106,The Simpsons,1989,,"['Animation', 'Comedy']",8.6,454178
107,Invincible,2021,,"['Animation', 'Action', 'Adventure']",8.7,276870
108,Star Trek: The Next Generation,1987,1994,"['Action', 'Adventure', 'Drama']",8.7,144056
109,Monster,2004,2005,"['Animation', 'Crime', 'Drama']",8.7,57519
110,Naruto: Shippuden,2007,2017,"['Animation', 'Action', 'Adventure']",8.7,198997
111,House,2004,2012,"['Drama', 'Mystery']",8.7,560480
112,Arrested Development,2003,2019,['Comedy'],8.6,335151
113,One Punch Man,2015,,"['Animation', 'Action', 'Comedy']",8.7,202578
114,Justice League Unlimited,2004,2006,"['Animation', 'Action', 'Adventure']",8.7,23340
115,The Adventures of Sherlock Holmes,1984,1985,"['Crime', 'Drama', 'Mystery']",8.7,26095
116,Mahabharat,1988,1990,"['Action', 'Adventure', 'Drama']",8.9,25472
117,Friday Night Lights,2006,2011,"['Drama', 'Sport']",8.7,76202
118,Line of Duty,2012,2026,"['Crime', 'Drama', 'Mystery']",8.7,75980
119,Top Gear,2002,2022,"['Adventure', 'Comedy', 'Sport']",8.7,132710
120,The Boys,2019,,"['Action', 'Comedy', 'Crime']",8.6,780166
121,The Marvelous Mrs. Maisel,2017,2023,"['Comedy', 'Drama']",8.7,151355
122,Stranger Things,2016,2025,"['Drama', 'Fantasy', 'Horror']",8.6,1450058
123,How to with John Wilson,2020,2023,"['Documentary', 'Comedy']",8.7,15668
124,The Thick of It,2005,2012,['Comedy'],8.7,28090
125,Behzat Ç: An Ankara Detective Story,2010,2019,"['Crime', 'Drama', 'Mystery']",8.8,34930
126,This Is Us,2016,2022,"['Comedy', 'Drama', 'Romance']",8.7,168327
127,1883,2021,2022,"['Drama', 'Western']",8.7,143844
128,Father Ted,1995,1998,['Comedy'],8.6,46267
129,Sarabhai V/S Sarabhai,2004,2017,['Comedy'],8.9,19310
130,Aspirants,2021,,['Drama'],9.2,315748
131,Code Geass,2006,2008,"['Animation', 'Action', 'Drama']",8.7,91633
132,Parks and Recreation,2009,2015,['Comedy'],8.6,303435
133,Adventure Time,2010,2018,"['Animation', 'Action', 'Adventure']",8.6,123828
134,Ramayan,1987,1988,"['Adventure', 'Drama', 'Family']",9.0,26019
135,The X-Files,1993,2018,"['Adventure', 'Crime', 'Drama']",8.6,262889
136,The Mandalorian,2019,,"['Action', 'Adventure', 'Fantasy']",8.6,627142
137,Atlanta,2016,2022,"['Comedy', 'Drama', 'Music']",8.6,94482
138,Dexter,2006,2013,"['Crime', 'Drama', 'Mystery']",8.6,846954
139,Deadwood,2004,2006,"['Crime', 'Drama', 'History']",8.6,123863
140,House of Cards,2013,2018,['Drama'],8.6,547432
141,The Crown,2016,2023,"['Biography', 'Drama', 'History']",8.6,270693
142,Mr Inbetween,2018,2021,"['Comedy', 'Crime', 'Drama']",8.7,40790
143,It's a Sin,2021,2021,['Drama'],8.6,39353
144,Daredevil,2015,2018,"['Action', 'Crime', 'Drama']",8.6,506952
145,The Bridge,2011,2018,"['Crime', 'Mystery', 'Thriller']",8.6,81144
146,Primal,2019,,"['Animation', 'Action', 'Adventure']",8.6,24963
147,Poirot,1989,2013,"['Crime', 'Drama', 'Mystery']",8.6,55908
148,Blackadder II,1986,1986,['Comedy'],8.6,52296
149,Lonesome Dove,1989,1989,"['Adventure', 'Drama', 'Western']",8.7,28159
150,Mindhunter,2017,2019,"['Crime', 'Drama', 'Mystery']",8.6,368635
151,Shōgun,2024,2026,"['Action', 'Adventure', 'Drama']",8.6,218273
152,Fighting Spirit,2000,2002,"['Animation', 'Action', 'Comedy']",8.8,14080
153,Mr. Bean,1990,1995,"['Comedy', 'Family']",8.6,143085
154,The Penguin,2024,2024,"['Crime', 'Drama']",8.6,196815
155,The Last of Us,2023,,"['Action', 'Adventure', 'Drama']",8.6,668334
156,The Return of Sherlock Holmes,1986,1988,"['Crime', 'Drama', 'Mystery']",8.7,14632
157,Crash Landing on You,2019,2020,"['Adventure', 'Comedy', 'Drama']",8.7,51296
158,The Offer,2022,2022,"['Biography', 'Crime', 'Drama']",8.6,46232
159,The Jinx: The Life and Deaths of Robert Durst,2015,2024,"['Documentary', 'Biography', 'Crime']",8.6,56378
160,Haikyu!!,2014,2020,"['Animation', 'Comedy', 'Drama']",8.7,45274
161,Gomorrah,2014,2021,"['Crime', 'Drama', 'Thriller']",8.6,47592
162,Pose,2018,2021,['Drama'],8.6,35164
163,Yes Minister,1980,1984,['Comedy'],8.6,18072
164,Scavengers Reign,2023,2023,"['Animation', 'Adventure', 'Drama']",8.6,30295
165,Blackadder the Third,1987,1987,['Comedy'],8.6,49269
166,Greatest Events of WWII in Colour,2019,2019,"['Documentary', 'History', 'War']",8.6,12664
167,The Bureau,2015,2020,"['Drama', 'Thriller']",8.7,17103
168,Anne with an E,2017,2019,"['Drama', 'Family']",8.6,74278
169,Critical Role,2015,,"['Adventure', 'Fantasy']",9.0,14425
170,The Newsroom,2012,2014,['Drama'],8.6,130536
171,Mystery Science Theater 3000,1988,1999,"['Comedy', 'Sci-Fi']",8.6,27080
172,Archer,2009,2023,"['Animation', 'Action', 'Comedy']",8.6,171759
173,El Chavo del Ocho,1972,1983,"['Comedy', 'Family']",8.7,15109
174,Dopesick,2021,2021,['Drama'],8.6,86671
175,Boardwalk Empire,2010,2014,"['Crime', 'Drama']",8.6,211533
176,Yeh Meri Family,2018,,"['Comedy', 'Drama', 'Family']",8.9,27141
177,Homicide: Life on the Street,1993,1999,"['Crime', 'Drama', 'Mystery']",8.7,16107
178,QI,2003,,"['Comedy', 'Game-Show']",8.6,34947
179,Young Justice,2010,2022,"['Animation', 'Action', 'Adventure']",8.6,48716
180,Justified,2010,2015,"['Action', 'Crime', 'Drama']",8.6,125507
181,The Bugs Bunny Show,1960,1975,"['Animation', 'Comedy']",8.6,37003
182,Demon Slayer: Kimetsu no Yaiba,2019,,"['Animation', 'Action', 'Adventure']",8.6,188692
183,The Family Man,2019,,"['Action', 'Comedy', 'Drama']",8.7,104215
184,What We Do in the Shadows,2019,2024,"['Comedy', 'Fantasy', 'Horror']",8.6,119310
185,Dragon Ball,1986,1989,"['Animation', 'Action', 'Adventure']",8.5,72362
186,Battlestar Galactica,2003,2003,"['Action', 'Adventure', 'Drama']",8.5,83134
187,The Haunting of Hill House,2018,2018,"['Drama', 'Horror', 'Mystery']",8.5,310618
188,Justice League,2001,2004,"['Animation', 'Action', 'Adventure']",8.5,54902
189,Dragon Ball,1995,2003,"['Animation', 'Action', 'Adventure']",8.5,70690
190,Endeavour,2012,2023,"['Crime', 'Drama', 'Mystery']",8.6,36138
191,The Venture Bros.,2003,2018,"['Animation', 'Action', 'Adventure']",8.6,29542
192,"Yes, Prime Minister",1986,1987,['Comedy'],8.6,14107
193,Samurai Champloo,2004,2005,"['Animation', 'Action', 'Adventure']",8.5,59931
